Project Number,Zip Code,Sector,Purchase Type,Application_Month,Project Status,Total Inverter Quantity,Total PV Module Quantity,Hardware Cost,Labor Cost,misc cost,$Incentive,Total Nameplate kW DC,Expected kWh Annual Production,
287045,10562,Residential,Purchase,21,Complete,2,48,19024,6560,7216,1567,16.32,10375,32800
291108,10562,Residential,Lease,9,Complete,1,28,24160.5,3717,3097.5,1764,8.82,8214,30975
283252,10562,Residential,Power Purchase Agreement,26,Pipeline,1,27,9439.5696,3886.8816,14436.9888,1020,8.64,6699,27763.44
303844,10562,Residential,Purchase,6,Pipeline,1,12,8936.8796,3942.741,13405.3194,530,3.9,3485,26284.94
283173,10562,Residential,Power Purchase Agreement,22,Complete,1,24,10865.9232,2469.528,11359.8288,1536,7.68,7738,24695.28
287098,10562,Residential,Purchase,18,Pipeline,1,36,14760,3444,6396,1248,12.24,2735,24600
315666,10562,Residential,Lease,25,Pipeline,1,21,13226.4,3674,1469.6,985,7.14,6501,18370
290171,10562,Residential,Purchase,4,Complete,26,26,2880,3060,12060,866,8.84,5737,18000
280621,10562,Residential,Power Purchase Agreement,28,Pipeline,1,17,7715.9456,2279.7112,7540.5832,1088,5.44,5374,17536.24
251876,10562,Residential,Lease,6,Complete,16,16,8384.6,2515.38,5869.22,478,5.2,3109,16769.2
267274,10562,Residential,Purchase,19,Complete,14,14,5077.8,1638,9664.2,1050,5.25,5796,16380
289385,10562,Residential,Lease,30,Complete,19,19,6682.63,2486.56,6371.81,826,5.99,5427,15541
306236,10562,Residential,Purchase,4,Pipeline,1,8,1415.238,1981.3332,10755.8088,560,2.8,3201,14152.38
286762,10562,Residential,Purchase,15,Complete,1,20,6560.0016,2050.0005,5056.6679,612,6.8,4057,13666.67
282870,10562,Residential,Power Purchase Agreement,25,Pipeline,1,13,7663.8552,1344.536,4436.9688,832,4.16,3827,13445.36
279285,10562,Residential,Purchase,13,Complete,20,20,4988,1740,4872,1340,6.7,6428,11600
290272,10562,Residential,Purchase,5,Complete,1,6,1122,1122,8976,408,2.04,2332,11220
296515,10566,Residential,Lease,12,Complete,2,62,4909.4,6873.16,37311.44,2909,21.08,18226,49094
287968,10566,Residential,Power Purchase Agreement,27,Pipeline,33,33,24624.6,3788.4,9471,1502,11.55,9306,37884
306128,10566,Residential,Purchase,8,Pipeline,1,26,21211.62,4949.378,9191.702,1166,8.45,8147,35352.7
296499,10566,Residential,Purchase,24,Complete,1,25,18599.67,6199.89,7831.44,1975,9.88,9253,32631
296786,10566,Residential,Lease,26,Complete,1,30,3391.476,3391.476,24048.648,960,9.6,5984,30831.6
312282,10566,Residential,Purchase,15,Pipeline,2,44,19844.0022,3006.667,7216.0008,1825,14.96,11425,30066.67
282079,10566,Residential,Purchase,13,Complete,30,30,5465.962,2732.981,19130.867,1197,9.81,7839,27329.81
287127,10566,Residential,Lease,23,Complete,1,25,6616.48,4835.12,13996.4,1575,7.88,6849,25448
306815,10566,Residential,Purchase,6,Pipeline,16,16,13478.4,3993.6,7488,1280,6.4,7145,24960
285403,10566,Residential,Lease,27,Pipeline,1,24,10865.9232,3704.292,10125.0648,1536,7.68,8627,24695.28
298784,10566,Residential,Lease,25,Complete,35,35,9965.97,2610.135,11152.395,1640,12.43,10205,23728.5
